crop,maturity_days,mean_temp_gs_C,temp_flowering_C,seasonal_rain_mm,rain_flowering_mm,humidity_mean_pct,soil_pH,clay_pct,soil_N_status_kg_ha,soil_P_status_kg_ha,soil_K_status_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_K_kg_ha,irrigation_events,ndvi_flowering,ndvi_peak,ndvi_veg_slope,soil_moisture_pct,yield_t_ha
Niger,123.30443046717346,31.164165508219856,29.192162542736664,614.9922286487242,100.91336944168032,46.398272090767605,6.3105657000940845,16.195981215233612,125.61356064257808,58.142812917244655,208.04535286749893,122.57960284401022,33.18184963660772,106.15054613907901,2,0.36262972291400125,0.6035928385809513,0.01585107387765404,10.413560646166925,2.2854483087243596
Safflower,98.01423833314271,27.772054390773505,25.275787389513546,1245.4520489582223,127.1145212342888,88.06023782279304,7.29108221396453,31.10709974126533,167.99201565636963,18.16603128296021,151.1229966162054,174.7660572829091,61.06364581808858,25.42193660813365,2,0.27910856563251457,0.5852598150753858,0.017886860998469575,20.985529100627712,2.9090078725201143
Niger,147.01316625296732,25.18887207437607,34.82315612172264,633.7865113704786,104.75456411396709,70.73075660532628,6.235459703399741,44.90052008572941,117.1881931855541,35.91344341328815,188.11649292020826,86.9039243018654,15.211685883911898,106.08099274521462,0,0.41205092489139106,0.5589376110570996,0.02873572334815115,9.872431151614633,2.0083140912769157
Sesame,126.45932979769844,28.909242428738885,35.83811225166227,703.7463822805478,228.99837374834092,77.55358852869128,8.12038916458719,38.98550703700228,99.01187460026682,29.317288669591832,155.7805824260052,94.26160919990126,18.390799506759656,102.77099954523483,1,0.8462359977456586,0.8767307469499264,0.016087769977114003,10.428318502620948,2.7751659459490896
Mustard,119.45444580375109,24.42365207399838,33.410065351847436,969.1158027622289,152.16418957075717,55.591908162378076,7.652920774946887,49.15915973030539,136.54537996063158,52.25146033733959,161.56266346213036,146.23218558891966,49.24193114806043,49.43203520854947,0,0.8784315446102596,0.661766885936922,0.022044652827519856,41.20692604423198,3.789131387377397
Sesame,128.45892570923607,20.66486089010559,28.632522341566798,1162.1995425145656,313.19704927427307,46.16870145592426,6.024340425114103,53.60419827382582,113.29715786161057,52.45218147087538,272.324447264672,129.13742985180468,11.107828593194661,54.80085268577813,4,0.7099545912769514,0.9136482370461907,0.013127311185057942,9.704258358467914,2.4214734278024563
Niger,106.75333347829752,18.223125091753587,32.058433953300764,424.399710502105,287.6319470701194,79.90100325091115,7.697124380798327,20.539548233891807,151.7721477921192,48.00825613114507,168.23518251917153,148.610327826516,6.408109169185634,105.08627286241655,0,0.7413818685347937,0.3624880097956025,0.026668782984277398,14.086269733384318,2.065137458238831
Groundnut,144.38382587553107,23.80061712118367,28.738152179736524,914.212198003049,161.41134452819833,55.39315774651575,8.1845568007037,30.06422705570531,122.29359739778576,53.067656964982866,92.1524241707924,74.02152405204338,35.47581005564112,87.70819622296474,4,0.3331048388928619,0.5075530310712837,0.01835345578526236,18.60200880062909,2.2344182899860994
Sunflower,127.26665801799453,31.903384315772897,29.67785563201091,1184.5901282207967,320.6679532022369,71.84325127675028,7.35383898200562,42.70531617983819,144.74403683693498,42.653329966915294,269.37020836220074,101.28908889246794,18.93934275785473,108.60497797374624,6,0.7684205589838474,0.6471418595045789,0.005126008956709743,23.063993477961816,3.5291739220654383
Sesame,147.9289611893905,24.811039536924227,21.083992039218252,359.8267628221187,61.095653037680584,56.26875205612493,6.566813104175399,41.21973964418153,147.83408540679724,45.72645408746229,195.92140247503494,142.65444117335488,22.717726123212678,25.637161322522118,4,0.73638163789936,0.4158573860613691,0.002402108159489597,28.127167810488913,2.05871737980883
Sunflower,127.27984717692152,25.659437603939658,30.340344962837648,843.9611176012074,89.76081347358945,78.49116330977324,5.940115862972071,18.90863378271459,105.98231980779784,53.78744095626578,231.06114094381402,66.16260283442128,61.508057378177924,42.44171536619482,6,0.8971202665351357,0.7060721249404922,0.025709453259951845,17.665575243729304,3.856483874891715
Groundnut,93.69670442157836,31.89799896726702,25.75917541785532,909.2623304749167,70.8312163758427,54.59171457834605,5.505820652527712,39.38604154895879,170.601368978353,23.680567817281528,165.72461026032218,139.61045975256403,54.916462353427825,66.30191395884506,0,0.7527271518104212,0.8173589733036184,0.02638790321497063,38.23693250672066,3.0421889909417734
Niger,141.41461326480493,23.84571060333008,26.624656661494317,750.4412202644273,324.66367487586496,89.71126782133337,7.641602365809694,47.3087673437485,132.20990003093692,44.95789157680734,227.17152267677062,17.973107578110074,28.747231418798748,94.33510370618832,0,0.563402574839112,0.7618664883993667,0.023467515603120062,16.201807051341685,2.2115350871869266
